date,items,mom,peso
2016-08-01,7169,0.44,100.0
2016-08-01,7170,0.3,26.1417
2016-08-01,7171,0.36,17.3607
2016-08-01,7172,-0.01,1.3467
2016-08-01,7173,2.92,0.6264
2016-08-01,7175,3.4,0.0465
2016-08-01,7176,2.82,0.118
2016-08-01,7177,11.27,0.0467
2016-08-01,7184,0.31,0.7093
2016-08-01,7185,1.5,0.0105
2016-08-01,7187,0.45,0.283
2016-08-01,7188,0.66,0.0318
2016-08-01,7189,1.31,0.005
2016-08-01,7190,-1.04,0.0053
2016-08-01,7191,0.05,0.0852
2016-08-01,7192,2.5,0.008
2016-08-01,7195,-0.34,0.1857
2016-08-01,7200,-4.9,0.7877
2016-08-01,7202,-8.0,0.326
2016-08-01,7203,0.6,0.0133
2016-08-01,7204,4.93,0.0117
2016-08-01,7205,-1.18,0.012
2016-08-01,7210,-3.19,0.0071
2016-08-01,7211,-2.29,0.0032
2016-08-01,7212,5.76,0.2242
2016-08-01,7215,-18.46,0.1275
2016-08-01,7216,-5.67,0.0497
2016-08-01,7219,1.4,0.9697
2016-08-01,7220,1.85,0.1386
2016-08-01,7221,1.72,0.3688
2016-08-01,7230,0.61,0.134
2016-08-01,7233,5.24,0.0049
2016-08-01,7241,-8.81,0.254
2016-08-01,7242,-10.34,0.1206
2016-08-01,7244,-1.26,0.0108
2016-08-01,7245,-6.9,0.0212
2016-08-01,7246,-21.2,0.0047
2016-08-01,7248,-10.41,0.0392
2016-08-01,7249,-4.8,0.0403
2016-08-01,7250,-3.17,0.0002
2016-08-01,7253,-7.6,0.0171
2016-08-01,7254,4.94,1.0387
2016-08-01,7255,1.79,0.0199
2016-08-01,7256,-1.45,0.0335
2016-08-01,7257,2.2,0.0012
2016-08-01,7258,15.09,0.0986
2016-08-01,7259,-2.43,0.0043
2016-08-01,7260,0.11,0.2138
2016-08-01,7262,-7.25,0.0086
2016-08-01,7265,20.77,0.0022
2016-08-01,7266,-0.89,0.1654
2016-08-01,7267,34.16,0.0894
2016-08-01,7268,-5.15,0.0142
2016-08-01,7269,-4.83,0.006
2016-08-01,7270,-2.84,0.0605
2016-08-01,7272,2.15,0.0262
2016-08-01,7275,26.69,0.0486
2016-08-01,7276,2.1,0.0866
2016-08-01,7279,-1.4,0.1413
2016-08-01,7280,-21.11,0.0157
2016-08-01,7281,7.4,0.0027
2016-08-01,7283,-0.86,2.733
2016-08-01,7285,0.34,0.0277
2016-08-01,7287,0.32,0.2155
2016-08-01,7288,2.23,0.0104
2016-08-01,7291,-2.05,0.3544
2016-08-01,7292,1.9,0.054
2016-08-01,7293,-0.92,0.2785
2016-08-01,7294,-1.74,0.4264
2016-08-01,7295,-0.94,0.2083
2016-08-01,7296,-1.28,0.0176
2016-08-01,7298,0.39,0.1598
2016-08-01,7299,-1.88,0.1374
2016-08-01,7300,-1.68,0.3131
2016-08-01,7301,-3.32,0.037
2016-08-01,7302,0.48,0.427
2016-08-01,7303,-0.61,0.305
2016-08-01,7305,5.74,0.0032
2016-08-01,7306,-3.74,0.0279
2016-08-01,7307,-4.73,0.0028
2016-08-01,7310,-0.36,0.0134
2016-08-01,7311,3.18,0.0411
2016-08-01,7312,3.11,0.0029
2016-08-01,7313,4.66,0.0061
2016-08-01,7316,9.34,0.0006
2016-08-01,7317,5.06,0.0063
2016-08-01,7320,-2.79,0.0618
2016-08-01,7323,-1.54,0.0065
2016-08-01,7333,-1.51,0.0186
2016-08-01,7335,0.5,0.8103
2016-08-01,7336,0.86,0.1273
2016-08-01,7339,0.81,0.3036
2016-08-01,7341,1.26,0.095
2016-08-01,7347,2.19,0.0156
2016-08-01,7349,0.13,1.1003
2016-08-01,7355,-0.23,0.2417
2016-08-01,7356,3.17,2.3455
2016-08-01,7358,10.23,0.0181
2016-08-01,7359,7.4,0.2403
2016-08-01,7360,11.33,0.0025
2016-08-01,7367,4.46,0.0304
2016-08-01,7372,0.17,1.9766
2016-08-01,7373,0.67,0.4726
2016-08-01,7375,-0.23,1.1418
2016-08-01,7376,-1.38,0.1057
2016-08-01,7377,2.26,0.126
2016-08-01,7378,0.76,0.11
2016-08-01,7380,2.6,0.0205
2016-08-01,7384,-1.13,0.4636
2016-08-01,7385,-1.91,0.2768
2016-08-01,7386,0.66,0.0295
2016-08-01,7389,0.58,1.8801
2016-08-01,7390,0.99,0.1564
2016-08-01,7392,2.46,0.3699
2016-08-01,7393,-0.77,0.0158
2016-08-01,7396,-0.4,0.3939
2016-08-01,7397,1.41,0.1153
2016-08-01,7401,0.63,0.1595
2016-08-01,7402,0.43,0.007
2016-08-01,7406,2.05,0.0139
2016-08-01,7407,-0.46,0.005
2016-08-01,7411,-0.91,0.0097
2016-08-01,7412,1.09,0.0291
2016-08-01,7415,-1.73,0.4807
2016-08-01,7416,3.45,0.0048
2016-08-01,7418,-5.1,0.1604
2016-08-01,7422,0.41,0.0085
2016-08-01,7423,-1.51,0.0517
2016-08-01,7424,-0.52,0.0054
2016-08-01,7425,1.16,0.0271
2016-08-01,7428,0.95,0.0574
2016-08-01,7432,0.18,8.781
2016-08-01,7434,-0.07,5.1519
2016-08-01,7435,0.69,2.033
2016-08-01,7436,2.87,0.1076
2016-08-01,7438,1.87,0.0779
2016-08-01,7440,-0.37,0.7042
2016-08-01,7443,0.13,0.0687
2016-08-01,7444,0.05,0.2603
2016-08-01,7445,0.3,15.2651
2016-08-01,7446,0.53,10.5184
2016-08-01,7447,0.54,7.2201
2016-08-01,7448,0.59,3.9405
2016-08-01,7449,0.74,1.6202
2016-08-01,7451,0.23,1.6429
2016-08-01,7453,-0.61,0.0166
2016-08-01,7454,0.55,2.408
2016-08-01,7455,0.43,0.0464
2016-08-01,7456,1.2,0.0228
2016-08-01,7457,1.25,0.0297
2016-08-01,7459,0.55,0.228
2016-08-01,7461,0.36,0.8902
2016-08-01,7464,0.66,0.059
2016-08-01,7465,0.54,0.1348
2016-08-01,7466,0.3,0.3551
